County,Date,Price,lag_price_1,lag_price_2,lag_price_3,lag_price_4,rolling_mean_4,month
Bomet,2021-07-25,31.11,30.0,31.945,31.11,31.11,31.041249999999998,7
Bomet,2021-08-01,30.275,31.11,30.0,31.945,31.11,30.8325,8
Bomet,2021-08-08,31.11,30.275,31.11,30.0,31.945,30.623749999999998,8
Bomet,2021-08-15,30.0,31.11,30.275,31.11,30.0,30.62375,8
Bomet,2021-08-22,29.44,30.0,31.11,30.275,31.11,30.206249999999997,8
Bomet,2021-08-29,32.39,29.44,30.0,31.11,30.275,30.735,8
Bomet,2021-09-05,30.0,32.39,29.44,30.0,31.11,30.4575,9
Bomet,2021-09-12,29.2225,30.0,32.39,29.44,30.0,30.263125,9
Bomet,2021-09-19,29.26,29.2225,30.0,32.39,29.44,30.218125,9
Bomet,2021-09-26,30.0,29.26,29.2225,30.0,32.39,29.620625,9
Bomet,2021-10-03,30.0,30.0,29.26,29.2225,30.0,29.620625,10
Bomet,2021-10-10,29.44,30.0,30.0,29.26,29.2225,29.675,10
Bomet,2021-10-17,30.555,29.44,30.0,30.0,29.26,29.99875,10
Bomet,2021-10-24,30.0,30.555,29.44,30.0,30.0,29.99875,10
Bomet,2021-10-31,27.78,30.0,30.555,29.44,30.0,29.44375,10
Bomet,2021-11-07,29.72,27.78,30.0,30.555,29.44,29.51375,11
Bomet,2021-11-14,30.0,29.72,27.78,30.0,30.555,29.375,11
Bomet,2021-11-21,30.0,30.0,29.72,27.78,30.0,29.375,11
Bomet,2021-11-28,30.56,30.0,30.0,29.72,27.78,30.07,11
Bomet,2021-12-05,30.555,30.56,30.0,30.0,29.72,30.27875,12
Bomet,2021-12-12,30.74,30.555,30.56,30.0,30.0,30.463749999999997,12
Bomet,2021-12-26,40.28,30.74,30.555,30.56,30.0,33.03375,12
Bomet,2022-01-02,36.67,40.28,30.74,30.555,30.56,34.56125,1
Bomet,2022-01-09,35.74333333333333,36.67,40.28,30.74,30.555,35.858333333333334,1
Bomet,2022-01-16,36.11,35.74333333333333,36.67,40.28,30.74,37.200833333333335,1
Bomet,2022-01-23,35.56,36.11,35.74333333333333,36.67,40.28,36.020833333333336,1
Bomet,2022-01-30,36.11,35.56,36.11,35.74333333333333,36.67,35.880833333333335,1
Bomet,2022-02-06,35.56,36.11,35.56,36.11,35.74333333333333,35.835,2
Bomet,2022-02-13,35.56,35.56,36.11,35.56,36.11,35.697500000000005,2
Bomet,2022-02-20,36.11,35.56,35.56,36.11,35.56,35.835,2
Bomet,2022-02-27,33.335,36.11,35.56,35.56,36.11,35.14125,2
Bomet,2022-03-06,31.11,33.335,36.11,35.56,35.56,34.02875,3
Bomet,2022-03-13,31.11,31.11,33.335,36.11,35.56,32.91625,3
Bomet,2022-03-20,36.67,31.11,31.11,33.335,36.11,33.056250000000006,3
Bomet,2022-03-27,36.11,36.67,31.11,31.11,33.335,33.75,3
Bomet,2022-04-03,36.67,36.11,36.67,31.11,31.11,35.14,4
